epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0318,2.03062,3.23705,3.31723,1.20758,0,0.00453,0.40663,0.0343,0.01534,0.00321,0.23467,0.02783,0.0126,2.25217,4.2333,3.76214,1.62898,0,0.00032381,0.00032381,0.00032381
2,69.4349,1.9089,2.81727,1.99533,1.11516,0,0.78147,0.04666,0.09141,0.04312,0.73299,0.02612,0.05447,0.02375,2.1078,4.43453,3.44792,1.58693,0,0.000644131,0.000644131,0.000644131
3,173.887,1.8523,2.72976,1.78731,1.08916,0,0.14129,0.12572,0.08723,0.035,0.11102,0.08156,0.06189,0.02039,2.22409,4.45261,3.0707,1.5884,0,0.000951253,0.000951253,0.000951253
4,206.194,1.82829,2.65842,1.71206,1.10253,0,0.19303,0.27432,0.14605,0.06632,0.15507,0.1741,0.09813,0.03731,2.13759,4.63436,2.94549,1.56447,0,0.0009406,0.0009406,0.0009406
5,259.726,1.77846,2.60617,1.60721,1.07839,0,0.27861,0.29344,0.20708,0.09618,0.27525,0.2674,0.17491,0.06654,2.09845,3.30327,2.48744,1.57465,0,0.0009208,0.0009208,0.0009208
6,297.583,1.76523,2.58673,1.55183,1.07174,0,0.27497,0.34641,0.22152,0.09665,0.244,0.29834,0.18923,0.07412,2.04104,3.19412,2.47886,1.5781,0,0.000901,0.000901,0.000901
7,345.784,1.72401,2.49846,1.49749,1.05913,0,0.29622,0.32296,0.23063,0.11257,0.32036,0.26136,0.20347,0.08634,1.98086,3.27058,2.49871,1.49481,0,0.0008812,0.0008812,0.0008812
8,378.658,1.73502,2.54115,1.53558,1.0642,0,0.35527,0.30288,0.25231,0.10959,0.32305,0.28375,0.22231,0.08136,2.00113,3.0519,2.31038,1.48537,0,0.0008614,0.0008614,0.0008614
9,429.056,1.75067,2.50309,1.50384,1.06192,0,0.27366,0.2999,0.21696,0.09737,0.27165,0.24763,0.18318,0.07289,2.00909,3.27077,2.38033,1.52045,0,0.0008416,0.0008416,0.0008416
10,453.347,1.71934,2.47972,1.45972,1.05671,0,0.29078,0.37606,0.26895,0.12077,0.27681,0.37294,0.25081,0.09636,1.99214,3.12837,2.27377,1.44964,0,0.0008218,0.0008218,0.0008218
11,501.627,1.70721,2.45214,1.41654,1.05312,0,0.40823,0.36811,0.28601,0.14336,0.40305,0.35803,0.26706,0.10689,1.91817,2.94797,2.11681,1.43996,0,0.000802,0.000802,0.000802
12,541.399,1.7045,2.4236,1.40393,1.0464,0,0.34127,0.34234,0.28925,0.13976,0.31512,0.32914,0.26748,0.09884,1.8917,3.01664,2.09636,1.39447,0,0.0007822,0.0007822,0.0007822
13,565.594,1.666,2.39661,1.36226,1.0379,0,0.43739,0.37801,0.337,0.1695,0.42302,0.33798,0.29527,0.12183,1.87498,2.89375,2.03587,1.38634,0,0.0007624,0.0007624,0.0007624
14,603.893,1.65498,2.37146,1.37793,1.04298,0,0.37196,0.35615,0.30213,0.14471,0.33371,0.34546,0.26894,0.10501,1.85323,2.97049,2.01316,1.39596,0,0.0007426,0.0007426,0.0007426
15,632.612,1.67837,2.41799,1.36604,1.0421,0,0.35741,0.39515,0.31239,0.16297,0.33851,0.37843,0.29396,0.12918,1.83005,2.84878,2.11992,1.3854,0,0.0007228,0.0007228,0.0007228
16,676.585,1.64063,2.33505,1.33123,1.03067,0,0.40051,0.34299,0.29202,0.13922,0.38136,0.32845,0.25637,0.10244,1.91389,2.90807,2.1899,1.40986,0,0.000703,0.000703,0.000703
17,722.969,1.63381,2.31782,1.319,1.03405,0,0.52475,0.35039,0.323,0.15373,0.48748,0.32574,0.28369,0.11174,1.91818,2.91098,2.01476,1.41718,0,0.0006832,0.0006832,0.0006832
18,752.601,1.6239,2.33253,1.29802,1.02782,0,0.43026,0.4142,0.36347,0.17297,0.40306,0.36514,0.31533,0.12729,1.87571,3.05111,1.96865,1.39783,0,0.0006634,0.0006634,0.0006634
19,787.425,1.63853,2.35997,1.30492,1.03222,0,0.42086,0.37566,0.3511,0.1663,0.39001,0.34789,0.2992,0.1198,1.82274,2.98084,1.99652,1.40472,0,0.0006436,0.0006436,0.0006436
20,819.235,1.63615,2.34226,1.31716,1.03999,0,0.53854,0.37895,0.40772,0.20333,0.55719,0.37305,0.38461,0.16135,1.81989,2.85556,1.92649,1.34501,0,0.0006238,0.0006238,0.0006238
21,878.928,1.60994,2.32468,1.25712,1.0176,0,0.4514,0.44229,0.38147,0.19254,0.43015,0.41449,0.34094,0.14386,1.75984,2.80386,1.86457,1.31591,0,0.000604,0.000604,0.000604
22,924.07,1.60374,2.29195,1.25336,1.01555,0,0.43839,0.45298,0.39941,0.20277,0.40819,0.41668,0.35441,0.15466,1.83384,2.84645,1.97949,1.34625,0,0.0005842,0.0005842,0.0005842
23,956.417,1.60107,2.3053,1.24086,1.02216,0,0.44376,0.44143,0.41403,0.21211,0.43279,0.42204,0.37649,0.17175,1.78709,2.78595,1.79935,1.32607,0,0.0005644,0.0005644,0.0005644
24,993.538,1.59587,2.27672,1.21947,1.00824,0,0.52726,0.38144,0.36966,0.1845,0.4935,0.33492,0.31314,0.12818,1.81176,2.82518,1.98088,1.35037,0,0.0005446,0.0005446,0.0005446
25,1049.68,1.58094,2.25807,1.20419,1.0072,0,0.42721,0.42505,0.38089,0.19759,0.40035,0.39083,0.32681,0.14216,1.75535,2.80237,1.88775,1.30063,0,0.0005248,0.0005248,0.0005248
26,1108.48,1.57135,2.23023,1.19254,1.00016,0,0.45378,0.41164,0.38136,0.19496,0.42469,0.39948,0.34253,0.15231,1.82021,2.97521,1.89657,1.34449,0,0.000505,0.000505,0.000505
27,1141.52,1.57738,2.24238,1.20163,1.00784,0,0.43002,0.46247,0.40529,0.21495,0.4059,0.43718,0.36725,0.16698,1.78874,2.86364,1.84596,1.34357,0,0.0004852,0.0004852,0.0004852
28,1162.62,1.58361,2.28098,1.19589,1.00621,0,0.45865,0.45837,0.4334,0.21688,0.43297,0.42562,0.38036,0.16525,1.75977,2.6909,1.82944,1.3058,0,0.0004654,0.0004654,0.0004654
29,1180.64,1.54217,2.19006,1.15962,0.99283,0,0.52859,0.41585,0.42705,0.22467,0.52372,0.38097,0.38878,0.1654,1.75715,2.7285,1.74245,1.31255,0,0.0004456,0.0004456,0.0004456
30,1222.61,1.58039,2.25919,1.17955,1.00404,0,0.48331,0.46133,0.42228,0.21909,0.45013,0.41945,0.36943,0.16385,1.77167,2.75385,1.77721,1.33418,0,0.0004258,0.0004258,0.0004258
31,1246.59,1.55993,2.23884,1.1877,1.00541,0,0.51344,0.40872,0.42386,0.22397,0.53548,0.36185,0.38742,0.17319,1.77059,2.76262,1.83857,1.34035,0,0.000406,0.000406,0.000406
32,1279.35,1.55334,2.22184,1.15432,0.99403,0,0.51597,0.42679,0.44139,0.22876,0.49009,0.4005,0.39681,0.17507,1.74094,2.70777,1.70188,1.29763,0,0.0003862,0.0003862,0.0003862
33,1310.57,1.5281,2.19864,1.15543,1.00322,0,0.5056,0.43414,0.45856,0.23674,0.5464,0.35874,0.40116,0.18481,1.70392,2.70715,1.8491,1.2764,0,0.0003664,0.0003664,0.0003664
34,1346.2,1.5571,2.238,1.1557,0.99897,0,0.47775,0.44149,0.42704,0.2222,0.45143,0.39777,0.37699,0.16008,1.77267,2.80476,1.76987,1.31875,0,0.0003466,0.0003466,0.0003466
35,1368.5,1.5462,2.20285,1.12368,0.99027,0,0.50328,0.47624,0.45189,0.23979,0.4782,0.44853,0.40904,0.18119,1.77329,2.85788,1.8644,1.32429,0,0.0003268,0.0003268,0.0003268
36,1412.9,1.51591,2.1312,1.1164,0.98578,0,0.59356,0.40945,0.43272,0.22583,0.58694,0.39959,0.40624,0.18145,1.75373,2.74281,1.75223,1.3099,0,0.000307,0.000307,0.000307
37,1451.2,1.54504,2.18141,1.12153,0.985,0,0.47101,0.47679,0.44772,0.22884,0.49241,0.39224,0.39501,0.17582,1.72989,2.66232,1.72595,1.30257,0,0.0002872,0.0002872,0.0002872
38,1477.18,1.52263,2.15669,1.1238,0.98987,0,0.61312,0.41059,0.45338,0.2431,0.54525,0.39732,0.41685,0.18691,1.70677,2.79382,1.74784,1.27438,0,0.0002674,0.0002674,0.0002674
39,1502.34,1.49744,2.13471,1.09778,0.98671,0,0.54762,0.43065,0.46341,0.24877,0.49199,0.41247,0.41401,0.18517,1.7398,2.76796,1.74621,1.2939,0,0.0002476,0.0002476,0.0002476
40,1534.59,1.5164,2.13937,1.10723,0.98801,0,0.55205,0.45905,0.47498,0.25823,0.53403,0.43791,0.43334,0.20146,1.71121,2.72007,1.70994,1.28746,0,0.0002278,0.0002278,0.0002278
41,1585.8,1.5025,2.05237,1.08659,0.99568,0,0.5411,0.42917,0.4492,0.22924,0.51585,0.40577,0.41589,0.16117,1.81435,2.93522,1.7484,1.31803,0,0.000208,0.000208,0.000208
42,1601.26,1.48696,2.02764,1.01914,0.98768,0,0.52205,0.48955,0.46556,0.24979,0.49892,0.45948,0.42126,0.19124,1.7612,2.90414,1.65267,1.29848,0,0.0001882,0.0001882,0.0001882
43,1617.13,1.46299,2.00609,0.98634,0.97887,0,0.5693,0.46016,0.4837,0.26247,0.51875,0.43991,0.43414,0.19507,1.73765,2.8358,1.62709,1.27084,0,0.0001684,0.0001684,0.0001684
44,1632.57,1.45285,1.96887,0.9672,0.9784,0,0.61228,0.47182,0.50197,0.26924,0.5746,0.44591,0.45858,0.20659,1.71212,2.77347,1.57903,1.27011,0,0.0001486,0.0001486,0.0001486
45,1648.04,1.44717,1.94547,0.96643,0.97274,0,0.56181,0.51666,0.50399,0.27487,0.52301,0.47682,0.45477,0.21432,1.69807,2.81118,1.57094,1.26164,0,0.0001288,0.0001288,0.0001288
46,1663.59,1.42936,1.9542,0.93865,0.9668,0,0.56495,0.50523,0.51906,0.28374,0.53548,0.47669,0.46974,0.22381,1.7014,2.76232,1.5649,1.25737,0,0.000109,0.000109,0.000109
47,1678.97,1.42207,1.92506,0.93502,0.96879,0,0.58573,0.53144,0.51796,0.28264,0.56506,0.50585,0.4734,0.22736,1.68101,2.69249,1.53993,1.25224,0,8.92e-05,8.92e-05,8.92e-05
48,1694.47,1.41559,1.89921,0.9263,0.97001,0,0.58513,0.50488,0.52415,0.29424,0.55219,0.47132,0.46948,0.227,1.67259,2.75302,1.54098,1.24967,0,6.94e-05,6.94e-05,6.94e-05
